id,severity,type,processor,batch_id,transaction_ids,expected,actual,impact,currency,description,recommended_action
PROC-e94bedd1,high,processor_mismatch,dLocal,DLO-BRL-20260813,CT-202608-00008,Adyen,dLocal,,,"dLocal settled CT-202608-00008, but the ledger routed it through Adyen.","Check for a routing failover or a mis-keyed merchant reference before accepting the payout, and confirm the other processor is not also settling it."
PROC-3b6e640f,high,processor_mismatch,dLocal,DLO-COP-20260813,CT-202608-00004,PayU Latam,dLocal,,,"dLocal settled CT-202608-00004, but the ledger routed it through PayU Latam.","Check for a routing failover or a mis-keyed merchant reference before accepting the payout, and confirm the other processor is not also settling it."
PROC-a53354ff,high,processor_mismatch,Stripe,po-MXN-20260813,CT-202608-00302,Adyen,Stripe,,,"Stripe settled CT-202608-00302, but the ledger routed it through Adyen.","Check for a routing failover or a mis-keyed merchant reference before accepting the payout, and confirm the other processor is not also settling it."
AMOU-884e40fc,medium,amount_mismatch,Adyen,ADY-BRL-20260813,CT-202608-00264,"R$1,401.27 BRL",R$700.64 BRL,700.63,BRL,"CT-202608-00264 was charged R$1,401.27 BRL but settled with gross R$700.64 BRL -- short by R$700.63 BRL.","Check for a partial refund or partial capture recorded only on the processor side; if there is none, open a settlement dispute."
FEE_-a1cdf1cb,medium,fee_error,dLocal,DLO-COP-20260813,CT-202608-00243,"COL$66,597 COP","COL$173,152 COP",106555,COP,"Fee on CT-202608-00243 (credit_card) was COL$173,152 COP, but the contracted rate implies COL$66,597 COP -- overcharged by COL$106,555 COP.",Reclaim the difference and re-check the credit_card rate configured for dLocal. A systematic error here repeats on every transaction.
FEE_-e7d2de32,medium,fee_error,Stripe,po-MXN-20260813,CT-202608-00302,MX$230.11 MXN,MX$37.24 MXN,-192.87,MXN,"Fee on CT-202608-00302 (debit_card) was MX$37.24 MXN, but the contracted rate implies MX$230.11 MXN -- undercharged by MX$192.87 MXN.",Reclaim the difference and re-check the debit_card rate configured for Stripe. A systematic error here repeats on every transaction.
FEE_-9f2f0aa8,medium,fee_error,Adyen,ADY-BRL-20260813,CT-202608-00046,R$15.98 BRL,R$30.36 BRL,14.38,BRL,"Fee on CT-202608-00046 (pix) was R$30.36 BRL, but the contracted rate implies R$15.98 BRL -- overcharged by R$14.38 BRL.",Reclaim the difference and re-check the pix rate configured for Adyen. A systematic error here repeats on every transaction.
AMOU-c8253abf,medium,amount_mismatch,Stripe,po-USD-20260813,CT-202608-00090,US$11.32 USD,US$9.28 USD,2.04,USD,CT-202608-00090 was charged US$11.32 USD but settled with gross US$9.28 USD -- short by US$2.04 USD.,"Check for a partial refund or partial capture recorded only on the processor side; if there is none, open a settlement dispute."
SETT-586eb6d6,low,settlement_aging,Adyen,,CT-202608-00006,settlement by 2026-08-14,pending,,,"CT-202608-00006 (US$41.42 USD) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-5e5d58bb,low,settlement_aging,Adyen,,CT-202608-00084,settlement by 2026-08-14,pending,,,"CT-202608-00084 (US$385.92 USD) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-07017cd1,low,settlement_aging,dLocal,,CT-202608-00097,settlement by 2026-08-14,pending,,,"CT-202608-00097 (COL$997,848 COP) has reached the edge of dLocal's 5-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-63766b15,low,settlement_aging,Adyen,,CT-202608-00109,settlement by 2026-08-14,pending,,,"CT-202608-00109 (US$368.82 USD) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-638a8c5d,low,settlement_aging,Adyen,,CT-202608-00136,settlement by 2026-08-14,pending,,,"CT-202608-00136 (R$48.44 BRL) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-0d7adbad,low,settlement_aging,Adyen,,CT-202608-00142,settlement by 2026-08-14,pending,,,"CT-202608-00142 (R$979.74 BRL) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-b7fcc7ee,low,settlement_aging,Adyen,,CT-202608-00165,settlement by 2026-08-14,pending,,,"CT-202608-00165 (US$96.51 USD) has reached the edge of Adyen's 2-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
SETT-9ddc112b,low,settlement_aging,Stripe,,CT-202608-00333,settlement by 2026-08-14,pending,,,"CT-202608-00333 (US$351.45 USD) has reached the edge of Stripe's 3-day SLA, due 2026-08-14.",Monitor; escalate if the next payout omits it.
